exit_id,setup_id,candidate_completed_trades,executed_trades,capital_skips,initial_cash,end_balance,total_pnl_dollars,return_on_initial_pct,minimum_cash,maximum_capital_committed,maximum_open_positions,realized_max_drawdown_dollars,realized_max_drawdown_pct,wins,losses,flats,win_rate,expectancy_dollars,profit_factor
end_of_session_1555,baseline,3482,3482,0,100000.0,64082.0,-35918.0,-35.918,51291.0,48709.0,24,40457.0,39.898028619047146,1395,2057,30,0.4006318207926479,-10.315336013785181,0.8287662090007628
end_of_session_1555,combined,1201,1201,0,100000.0,116358.0,16358.0,16.358,94368.0,5632.0,15,4008.0,3.4694990521203937,582,610,9,0.4845961698584513,13.620316402997503,1.2860190236396698
end_of_session_1555,exclusion,1201,1201,0,100000.0,116358.0,16358.0,16.358,94368.0,5632.0,15,4008.0,3.4694990521203937,582,610,9,0.4845961698584513,13.620316402997503,1.2860190236396698
end_of_session_1555,inclusion,3482,3482,0,100000.0,64082.0,-35918.0,-35.918,51291.0,48709.0,24,40457.0,39.898028619047146,1395,2057,30,0.4006318207926479,-10.315336013785181,0.8287662090007628
end_of_session_1555,quality_top_leaf,191,191,0,100000.0,112063.0,12063.0,12.063,98905.0,1095.0,6,541.0,0.5296184984679243,129,61,1,0.675392670157068,63.15706806282723,4.230583824317086
fixed_15m,baseline,3483,3483,0,100000.0,78976.0,-21024.0,-21.024,76463.0,23537.0,5,21229.0,21.229,1382,1998,103,0.3967843812805053,-6.036175710594315,0.7101057595521421
fixed_15m,combined,1331,1331,0,100000.0,98986.0,-1014.0000000000002,-1.0140000000000002,96911.0,3089.0,5,4320.0,4.185316514561413,634,666,31,0.4763335837716003,-0.7618332081142,0.9602633435222196
fixed_15m,exclusion,1331,1331,0,100000.0,98986.0,-1014.0000000000002,-1.0140000000000002,96911.0,3089.0,5,4320.0,4.185316514561413,634,666,31,0.4763335837716003,-0.7618332081142,0.9602633435222196
fixed_15m,inclusion,3483,3483,0,100000.0,78976.0,-21024.0,-21.024,76463.0,23537.0,5,21229.0,21.229,1382,1998,103,0.3967843812805053,-6.036175710594315,0.7101057595521421
fixed_15m,quality_top_leaf,286,286,0,100000.0,101133.0,1132.9999999999993,1.1329999999999993,98246.0,1754.0,3,981.0,0.9608603667136814,161,123,2,0.5629370629370629,3.961538461538459,1.303753351206434
