trade_id,exit_id,leaf_id,keep_baseline,keep_inclusion,skip_exclusion,keep_exclusion,keep_combined,keep_quality_top_leaf
T000001,end_of_session_1555,12,True,True,True,False,False,False
T000002,end_of_session_1555,12,True,True,True,False,False,False
T000003,end_of_session_1555,7,True,True,False,True,True,False
T000004,end_of_session_1555,4,True,True,False,True,True,False
T000005,end_of_session_1555,12,True,True,True,False,False,False
T000006,end_of_session_1555,12,True,True,True,False,False,False
T000007,end_of_session_1555,12,True,True,True,False,False,False
T000008,end_of_session_1555,3,True,True,True,False,False,False
T000009,end_of_session_1555,9,True,True,False,True,True,False
T000010,end_of_session_1555,9,True,True,False,True,True,False
T000011,end_of_session_1555,9,True,True,False,True,True,False
T000012,end_of_session_1555,12,True,True,True,False,False,False
T000013,end_of_session_1555,3,True,True,True,False,False,False
T000014,end_of_session_1555,12,True,True,True,False,False,False
T000015,end_of_session_1555,3,True,True,True,False,False,False
T000016,end_of_session_1555,3,True,True,True,False,False,False
T000017,end_of_session_1555,7,True,True,False,True,True,False
T000018,end_of_session_1555,7,True,True,False,True,True,False
T000019,end_of_session_1555,12,True,True,True,False,False,False
T000020,end_of_session_1555,12,True,True,True,False,False,False
T000021,end_of_session_1555,4,True,True,False,True,True,False
T000022,end_of_session_1555,4,True,True,False,True,True,False
T000023,end_of_session_1555,12,True,True,True,False,False,False
T000024,end_of_session_1555,4,True,True,False,True,True,False
T000025,end_of_session_1555,4,True,True,False,True,True,False
T000026,end_of_session_1555,12,True,True,True,False,False,False
T000027,end_of_session_1555,12,True,True,True,False,False,False
T000028,end_of_session_1555,3,True,True,True,False,False,False
T000029,end_of_session_1555,9,True,True,False,True,True,False
T000030,end_of_session_1555,9,True,True,False,True,True,False
T000031,end_of_session_1555,9,True,True,False,True,True,False
T000032,end_of_session_1555,9,True,True,False,True,True,False
T000033,end_of_session_1555,4,True,True,False,True,True,False
T000034,end_of_session_1555,4,True,True,False,True,True,False
T000035,end_of_session_1555,4,True,True,False,True,True,False
T000036,end_of_session_1555,4,True,True,False,True,True,False
T000037,end_of_session_1555,12,True,True,True,False,False,False
T000038,end_of_session_1555,4,True,True,False,True,True,False
T000039,end_of_session_1555,12,True,True,True,False,False,False
T000040,end_of_session_1555,12,True,True,True,False,False,False
T000041,end_of_session_1555,4,True,True,False,True,True,False
T000042,end_of_session_1555,12,True,True,True,False,False,False
T000043,end_of_session_1555,4,True,True,False,True,True,False
T000044,end_of_session_1555,4,True,True,False,True,True,False
T000045,end_of_session_1555,4,True,True,False,True,True,False
T000046,end_of_session_1555,12,True,True,True,False,False,False
T000047,end_of_session_1555,12,True,True,True,False,False,False
T000048,end_of_session_1555,4,True,True,False,True,True,False
T000049,end_of_session_1555,4,True,True,False,True,True,False
T000050,end_of_session_1555,4,True,True,False,True,True,False
T000051,end_of_session_1555,9,True,True,False,True,True,False
T000052,end_of_session_1555,9,True,True,False,True,True,False
T000053,end_of_session_1555,12,True,True,True,False,False,False
T000054,end_of_session_1555,12,True,True,True,False,False,False
T000055,end_of_session_1555,6,True,True,False,True,True,True
T000056,end_of_session_1555,7,True,True,False,True,True,False
T000057,end_of_session_1555,12,True,True,True,False,False,False
T000058,end_of_session_1555,6,True,True,False,True,True,True
T000059,end_of_session_1555,6,True,True,False,True,True,True
T000060,end_of_session_1555,7,True,True,False,True,True,False
T000061,end_of_session_1555,12,True,True,True,False,False,False
T000062,end_of_session_1555,11,True,True,True,False,False,False
T000063,end_of_session_1555,3,True,True,True,False,False,False
T000064,end_of_session_1555,12,True,True,True,False,False,False
T000065,end_of_session_1555,12,True,True,True,False,False,False
T000066,end_of_session_1555,3,True,True,True,False,False,False
T000067,end_of_session_1555,12,True,True,True,False,False,False
T000068,end_of_session_1555,12,True,True,True,False,False,False
T000069,end_of_session_1555,4,True,True,False,True,True,False
T000070,end_of_session_1555,4,True,True,False,True,True,False
T000071,end_of_session_1555,9,True,True,False,True,True,False
T000072,end_of_session_1555,4,True,True,False,True,True,False
T000073,end_of_session_1555,12,True,True,True,False,False,False
T000074,end_of_session_1555,4,True,True,False,True,True,False
T000075,end_of_session_1555,12,True,True,True,False,False,False
T000076,end_of_session_1555,11,True,True,True,False,False,False
T000077,end_of_session_1555,6,True,True,False,True,True,True
T000078,end_of_session_1555,3,True,True,True,False,False,False
T000079,end_of_session_1555,3,True,True,True,False,False,False
T000080,end_of_session_1555,12,True,True,True,False,False,False
T000081,end_of_session_1555,11,True,True,True,False,False,False
T000082,end_of_session_1555,4,True,True,False,True,True,False
T000083,end_of_session_1555,12,True,True,True,False,False,False
T000084,end_of_session_1555,6,True,True,False,True,True,True
T000085,end_of_session_1555,12,True,True,True,False,False,False
T000086,end_of_session_1555,11,True,True,True,False,False,False
T000087,end_of_session_1555,12,True,True,True,False,False,False
T000088,end_of_session_1555,4,True,True,False,True,True,False
T000089,end_of_session_1555,11,True,True,True,False,False,False
T000090,end_of_session_1555,12,True,True,True,False,False,False
T000091,end_of_session_1555,12,True,True,True,False,False,False
T000092,end_of_session_1555,4,True,True,False,True,True,False
T000093,end_of_session_1555,9,True,True,False,True,True,False
T000094,end_of_session_1555,9,True,True,False,True,True,False
T000095,end_of_session_1555,9,True,True,False,True,True,False
T000096,end_of_session_1555,9,True,True,False,True,True,False
T000097,end_of_session_1555,9,True,True,False,True,True,False
T000098,end_of_session_1555,7,True,True,False,True,True,False
T000099,end_of_session_1555,12,True,True,True,False,False,False
T000100,end_of_session_1555,12,True,True,True,False,False,False
T000101,end_of_session_1555,7,True,True,False,True,True,False
T000102,end_of_session_1555,7,True,True,False,True,True,False
T000103,end_of_session_1555,12,True,True,True,False,False,False
T000104,end_of_session_1555,3,True,True,True,False,False,False
T000105,end_of_session_1555,12,True,True,True,False,False,False
T000106,end_of_session_1555,3,True,True,True,False,False,False
T000107,end_of_session_1555,6,True,True,False,True,True,True
T000108,end_of_session_1555,11,True,True,True,False,False,False
T000109,end_of_session_1555,11,True,True,True,False,False,False
T000110,end_of_session_1555,12,True,True,True,False,False,False
T000111,end_of_session_1555,9,True,True,False,True,True,False
T000112,end_of_session_1555,9,True,True,False,True,True,False
T000113,end_of_session_1555,9,True,True,False,True,True,False
T000114,end_of_session_1555,3,True,True,True,False,False,False
T000115,end_of_session_1555,3,True,True,True,False,False,False
T000116,end_of_session_1555,3,True,True,True,False,False,False
T000117,end_of_session_1555,11,True,True,True,False,False,False
T000118,end_of_session_1555,12,True,True,True,False,False,False
T000119,end_of_session_1555,3,True,True,True,False,False,False
T000120,end_of_session_1555,12,True,True,True,False,False,False
T000121,end_of_session_1555,11,True,True,True,False,False,False
T000122,end_of_session_1555,12,True,True,True,False,False,False
T000123,end_of_session_1555,4,True,True,False,True,True,False
T000124,end_of_session_1555,11,True,True,True,False,False,False
T000125,end_of_session_1555,11,True,True,True,False,False,False
T000126,end_of_session_1555,11,True,True,True,False,False,False
T000127,end_of_session_1555,12,True,True,True,False,False,False
T000128,end_of_session_1555,7,True,True,False,True,True,False
T000129,end_of_session_1555,12,True,True,True,False,False,False
T000130,end_of_session_1555,9,True,True,False,True,True,False
T000131,end_of_session_1555,9,True,True,False,True,True,False
