source_kind,session_date,relative_path,expected_sha256,actual_sha256,sha256_match,expected_bytes,actual_bytes,bytes_match,expected_rows,actual_rows,rows_match
archive_option_quotes_1m,2025-07-25,partitions/2025-07-25/QQQ/2025-07-29/option_quotes_1m.parquet,47b721bf3f93a8b68d46c0b84c00f1c1dc38ec416574070af7a440d15531341c,47b721bf3f93a8b68d46c0b84c00f1c1dc38ec416574070af7a440d15531341c,True,575064,575064,True,82110,82110,True
archive_option_quotes_1m,2025-07-25,partitions/2025-07-25/SPY/2025-07-29/option_quotes_1m.parquet,e139bb2f1abacbae6b35703e04267459d275ef0f74808f374dbc3b7a918a951b,e139bb2f1abacbae6b35703e04267459d275ef0f74808f374dbc3b7a918a951b,True,662360,662360,True,77418,77418,True
archive_option_quotes_1m,2025-07-28,partitions/2025-07-28/AAPL/2025-08-01/option_quotes_1m.parquet,3e66ff4bd211d3d280a832a872208aba1b2ada19d27197332be1c5344353f1a4,3e66ff4bd211d3d280a832a872208aba1b2ada19d27197332be1c5344353f1a4,True,312847,312847,True,43792,43792,True
archive_option_quotes_1m,2025-07-28,partitions/2025-07-28/NVDA/2025-08-01/option_quotes_1m.parquet,064cc63245b9daf1c62e4aeabbbd009a1a57937929143c49db8775898b6cc105,064cc63245b9daf1c62e4aeabbbd009a1a57937929143c49db8775898b6cc105,True,530238,530238,True,77418,77418,True
archive_option_quotes_1m,2025-07-28,partitions/2025-07-28/QQQ/2025-07-31/option_quotes_1m.parquet,efcf9b2e0337a5ba9c52710e2461a228d70f09cb507d0488b85b62e4895c27b2,efcf9b2e0337a5ba9c52710e2461a228d70f09cb507d0488b85b62e4895c27b2,True,996310,996310,True,148580,148580,True
archive_option_quotes_1m,2025-07-28,partitions/2025-07-28/QQQ/2025-08-01/option_quotes_1m.parquet,1e23cb9121c60d0b87191035dfdc77b7a18dab4c5bc0c7aaf7caf4b9d5f0f5b1,1e23cb9121c60d0b87191035dfdc77b7a18dab4c5bc0c7aaf7caf4b9d5f0f5b1,True,822014,822014,True,107134,107134,True
archive_option_quotes_1m,2025-07-28,partitions/2025-07-28/SPY/2025-08-01/option_quotes_1m.parquet,27d259415b9260ea17c28a7c4050f632a7996acf543418afafd55c45af476371,27d259415b9260ea17c28a7c4050f632a7996acf543418afafd55c45af476371,True,951139,951139,True,104788,104788,True
archive_option_quotes_1m,2025-07-28,partitions/2025-07-28/TSLA/2025-08-01/option_quotes_1m.parquet,12b3e752da3a5920b94d3a3b3b0457015b1c7cb2c59b51cca795cb0bc17f8f33,12b3e752da3a5920b94d3a3b3b0457015b1c7cb2c59b51cca795cb0bc17f8f33,True,859406,859406,True,109480,109480,True
archive_option_quotes_1m,2025-07-29,partitions/2025-07-29/AAPL/2025-08-01/option_quotes_1m.parquet,3c31ba7ce951fce4fa5ed2e0bd47772020a4aa60742da2ceb51e9bb1fda01dc2,3c31ba7ce951fce4fa5ed2e0bd47772020a4aa60742da2ceb51e9bb1fda01dc2,True,331883,331883,True,43792,43792,True
archive_option_quotes_1m,2025-07-29,partitions/2025-07-29/NVDA/2025-08-01/option_quotes_1m.parquet,73bd5375604826e434df5da3ae146a1c1fc669fbef10db234f3528883c0cd97b,73bd5375604826e434df5da3ae146a1c1fc669fbef10db234f3528883c0cd97b,True,552257,552257,True,78200,78200,True
