exit_id,exit_status,exit_reason,count
end_of_session_1555,ok,end_of_session,3482
end_of_session_1555,unavailable,exact_quote_unavailable,5
fixed_15m,ok,fixed_time,3483
fixed_15m,unavailable,exact_quote_unavailable,4
fixed_30m,ok,fixed_time,3487
fixed_60m,ok,fixed_time,3484
fixed_60m,unavailable,exact_quote_unavailable,3
pt20_sl10_eod,ok,end_of_session_fallback,339
pt20_sl10_eod,ok,profit_target_observed,921
pt20_sl10_eod,ok,stop_observed,2227
pt40_sl20_eod,ok,end_of_session_fallback,1264
pt40_sl20_eod,ok,profit_target_observed,643
pt40_sl20_eod,ok,stop_observed,1577
pt40_sl20_eod,unavailable,exact_quote_unavailable,3
underlying_invalidation_eod,ok,end_of_session_fallback,1056
underlying_invalidation_eod,ok,underlying_invalidation,2430
underlying_invalidation_eod,unavailable,exact_quote_unavailable,1
